sr,COMPANY NAME
145,Manila Mining Corporation,,,,,,
146,Manila North Tollways Corp,,√,,√,,
147,"Manila Water Company, Inc.",,,,,,
148,Manulife Financial Corporation,,,,,,
149,"Marcventures Holdings, Inc.",,,,,,
150,"Max's Group, Inc.",,,,,,
151,"MEDCO Holdings, Inc.",,,,,,
152,Megawide Construction Corporation,,,,,,
153,Melco Crown (Philippines) Resorts Corporation,,,,,,
154,Metro Alliance Holdings & Equities Corp.,,,,,,
155,"Metro Global Holdings, Inc.",,,,,,
156,Metro Pacific Investments Corporation,,,,,,
157,"Metro Retail Stores Group, Inc.",,,,,,
158,Metropolitan Bank & Trust Company,,,,,,
159,"Millennium Global Holdings, Inc.",,,,,,
160,Minerales Industrias Corporation,"√
161,MJC Investments Corporation,,,,,,
162,"MRC Allied, Inc.",,,,,,
163,National Reinsurance Corporation of the Philippines,,,,,,
164,NextGenesis Corporation,,,,,,
165,Nickel Asia Corporation,,,,,,
166,"NiHAO Mineral Resources International, Inc.",,,,,,
167,Now Corporation,,,,,,
168,Omico Corporation,,,,,,
169,"Oriental Peninsula Resources Group, Inc.",,,,,,
170,Oriental Petroleum and Minerals Corporation,,,,,,
171,Pacific Online Systems Corporation,,,,,,
172,"Pacifica, Inc.",,,,,,
173,"PAL Holdings, Inc.",,,,,,
174,Panasonic Manufacturing Philippines Corporation,,,,,,
175,"Paxys, Inc.",,,,,,
176,"Pepsi-Cola Products Philippines, Inc.",,,,,,
177,PetroEnergy Resources Corporation,,,,,,
178,Petron Corporation,,,,,,
179,Philcomsat Holdings Corporation,,,,,,
180,Philex Mining Corporation,,,,,,
181,Philex Petroleum Corporation,,,,,,
182,Philippine Bank of Communications,,,,,,
183,Philippine Business Bank,,,,,,
184,Philippine Estates Corporation,,,,,,
185,Philippine H2O Ventures Corporation,,,,,,
186,Philippine Long Distance Telephone Company,,,,,,
187,Philippine National Bank,,,,,,
188,Philippine National Construction Corporation,,,,,,
189,"Philippine Primark Properties, Inc.",,,,,,
190,"Philippine Racing Club, Inc.",,,,,,
191,Philippine Realty and Holdings Corporation,,,,,,
192,Philippine Savings Bank,,,,,,
193,Philippine Seven Corporation,,,,,,
194,Philippine Telegraph and Telephone Corporation,,,,,,
195,Philippine Trust Company,,,,,,
196,PhilWeb.Com  Corporation,,,,,,
197,Phinma Corporation,,,,,,
198,"P-h-o-e-n-i-x Petroleum Philippines, Inc.",,√,,,,
199,Phoenix Semiconductor Philippines Corporation,,,,,,
200,"PICOP Resources, Inc.",,,,,,
201,Premiere Horizon Alliance Corporation,,,,,,
202,Premium Leisure Corporation,,,,,,
203,"Prime Media Holdings, Inc.",,,,,,
204,"Prime Orion Philippines, Inc.",,,,,,
205,Primex Corporation,,,,,,
206,Pryce Corporation,,,,,,
207,PTFC Redevelopment Corporation,,,,,,
208,"Puregold Price Club, Inc.",,,,,,
209,"Republic Cement & Building Materials, Inc.",,,,,,
210,Republic Glass Holdings Corporation,,,,,,
211,RFM Corporation,,,,,,
212,Rizal Commercial Banking Corporation,,,,,,
213,"Robinsons Land, Inc.",,,,,,
214,"Robinsons Retail Holdings, Inc.",,,,,,
215,Rockwell Land Corporation,,,,,,
216,"Roxas and Company, Inc.",,,,,,
217,"Roxas Holdings, Inc.",,,,,,
218,"San Miguel Brewery, Inc.",,√,,√,,
219,San Miguel Corporation,"√
220,"San Miguel Pure Foods Company, Inc.",,,,,,
221,SBS Philippines Corporation,,,,,,
222,Seafront Resources Corporation,,,,,,
223,Security Bank Corporation,,,,,,
224,Semirara Mining Corporation,,,,,,
225,"Shang Properties, Inc.",,,,,,
226,SL Agritech Corporation,,"√
227,SM Investments Corporation,,,"√
228,"SM Prime Holdings, Inc.",,,,,,
229,"SOC Resources, Inc.","√
230,"Solid Group, Inc.",,,,,,
231,South Luzon Tollway Corporation,,√,,√,,
232,SPC Power Corporation,"√
233,Splash Corporation,,,,,,
234,"SSI Group, Inc.",,,,,,
235,"Sta. Lucia Land, Inc.",,,,,,
236,"Starmalls, Inc.",,,,,,
237,Steniel Manufacturing Corporation,,,,,,
238,"STI Education Systems Holdings, Inc.",,,,,,
239,Sun Life Financial Inc.,,,,,,
240,"Suntrust Home Developers, Inc.",,,,,,
241,Supercity Realty Development Corporation,,,,,,
242,"Swift Foods, Inc.",,,,,,
243,"Synergy Grid & Development Phils., Inc.",,,,,,
244,"Tanduay Distillers, Inc.",,,,,,
245,"The Philippine Stock Exchange, Inc.",,,,,,
246,The Philodrill Corporation,,,,,,
247,TKC Steel Corporation,,,,,,
248,"Top Frontier Investment Holdings, Inc.","√
249,Trans-Asia Oil and Energy Development Corporation,,,,,
250,Trans-Asia Oil Petroleum Corporation,,,,,
251,Transpacific Broadband Group Int`l. Inc.,,,,,
252,"Travellers International Hotel Group, Inc.",,,,,
253,"Unioil Resources & Holdings Company, Inc.",,,,,
254,"Union Bank of the Philippines, Inc.",,,,,
255,United Paragon Mining Corporation,,,,,
256,Universal Robina Corporation,,,,,
257,"Uniwide Holdings, Inc.",,,,,
258,"Vantage Equities, Inc.",,,,,
259,"Victorias Milling Company, Inc.",,,,,
260,"Vista Land & Lifescapes, Inc.",,,,,
261,Vitarich Corporation,,,,,
262,Vivant Corporation,,,,,
263,Vulcan Industrial & Mining Corporation,,,,,
264,"Waterfront Philippines, Incorporated",,,,,
265,"Wellex Industries, Incorporated",,,,,
266,"Xurpas, Inc.",,,,,
267,YEHEY! Corporation,,,,,
268,"Zeus Holdings, Inc.",,,,,
