2,,Name,Number,State,RegisteredDate
64,,KULHUDHUFFUSHI COOPERATIVE SOCIETY,CS-0003/2017,Registered,25-Jul-2017
65,,PLATINUM RESIDENCES C1 & C2 COOPERATIVE SOCIETY,CS-0004/2017,Registered,01-Aug-2017
66,,KANDITHEEMU COOPERATIVE SOCIETY,CS-0016/2012,Registered,19-Nov-2012
67,,SABAH MALDIVES COOPERATIVE SOCIETY,CS-0005/2013,Registered,06-Jun-2013
68,,HDH. MAKUNUDHOO COOPERATIVE SOCIETY,CS-0007/2017,Registered,16-Aug-2017
69,,MEDHUAVASHU RAIYYITHUNGE COOPERATIVE SOCIETY,CS-0033/2011,Registered,28-Dec-2011
70,,FIYOAREE PROCESSORS COOPERATIVE SOCIETY,CS-0028/2011,Registered,11-Dec-2011
71,,FIYOAREE FARMERS COOPERATIVE SOCIETY,CS-0026/2011,Registered,07-Dec-2011
72,,BADHA COOPERATIVE SOCIETY,CS-0012/2017,Registered,16-Nov-2017
73,,MALDIVES IMMIGRATION COOPERATIVE SOCIETY,CS-0010/2017,Registered,14-Nov-2017
74,,STELCO COOPERATIVE SOCIETY,CS-0014/2017,Registered,14-Dec-2017
75,,DACOS,CS00012018,Registered,15-Apr-2018
76,,REFEREES DEVELOPMENT COOPERATIVE SOCIETY,CS00022018,Registered,29-May-2018
77,,DHIVEHI MASVERIN,CS00032018,Registered,20-Dec-2018
78,,RAA MADUVVARI RAHVEHI COOPERATIVE SOCIETY,CS00012019,Registered,11-Mar-2019
79,,VISIT LAAMU,CS00022019,Registered,08-Jul-2019
80,,MALDIVES CREDIT UNION,CS00032019,Registered,25-Jul-2019
81,,FONADHOO ENVIRONMENT AND SOCIAL DEVELOPMENT CORPORATIVE SOCIETY,CS00042019,Registered,29-Aug-2019
82,,AMIN AVENUE OAK COOPERATIVE SOCIETY,CS00052019,Registered,05-Nov-2019
83,,AMIN AVENUE TEAK COOPERATIVE SOCIETY,CS00012020,Registered,25-Feb-2020
