2,,Name,Number,ManagingPartner,State,RegisteredDate
59,,S.M.D AUDIT & TAX ADVISORY LLP,P-0019/2012,ABDULSAMAD MOHAMED,Registered,18-Sep-2012
60,,HISAAN & SAFA,P-0020/2012,HISAAN HUSSAIN,Registered,18-Sep-2012
61,,WE COOL ENGINEERING PARTNERS,P-0021/2012,ABDUL BAREE MOHAMED,Registered,19-Sep-2012
62,,WEE BITS L.L.P,P-0022/2012,AMAL HUSSAIN,Registered,11-Oct-2012
63,,LYGITIME LLP,P-0025/2012,NOORUBAAN FAHMEE,Registered,04-Dec-2012
64,,F.S AUDIT & TAX CONSULTANCY,P-0024/2012,AISHATH FAYAZA,Registered,29-Nov-2012
65,,DHI LAW,P-0026/2012,AISHATH RIYASA,Registered,04-Dec-2012
66,, 	 H.H.L CONSTRUCTION & CO.,P-0001/2013,LIRAR AHMED,Registered,10-Jan-2013
67,,FAST TWO H.M. PARTNERSHIP,P-0028/2012,AHMED HANEEF,Registered,23-Dec-2012
68,,HIGH POWER TRADING PARTNERS,P-0002/2013,ALI MAHIR,Registered,17-Jan-2013
69,,AXEN PARTNERS,P-0004/2013,NADEEM MOHAMED,Registered,21-Jan-2013
70,,FAVOURITE TRADES PARTNERS,P-0003/2013,Hassan Nafiu,Registered,17-Jan-2013
71,,M.H.P.A L.L.P,P-0006/2013,RIFAATH JALEEL,Registered,10-Feb-2013
72,,TOP ONE PARTNERS,P-0007/2013,AHMED AHKAAM,Registered,11-Feb-2013
73,,AL-MUHASABAH L.L.P,P-0008/2013,AHMED ALI HABEEB,Registered,25-Feb-2013
74,,TIDUA L.L.P,P-0009/2013,HUSSAIN ABDULLAH,Registered,26-Feb-2013
75,,U.SAY BUILDERS PARTNERS,P-0012/2013,YOOSUF NAEEM,Registered,10-Mar-2013
76,,AQUIDNECK PARTNERSHIP,P-0011/2013,ATHAAU RAHMAN,Registered,06-Mar-2013
77,,BOOKKEEPING TAXPRESS L.L.P,P-0013/2013,HUSSAIN FAHMY,Registered,14-Mar-2013
78,,SAALHAGA PARTNERSHIP,P-0016/2013,ALI SHATHIR,Registered,28-Mar-2013
79,,F AND H ACCOUNTANTS L.L.P,P-0017/2013,MAS'UDH MUHAMMADH,Registered,02-Apr-2013
80,,KOADERS AND CO.,P-0018/2013,MOHAMED SAAMEEN,Registered,02-Apr-2013
81,,FODAHAADAA PRODUCTION L.L.P,P-0026/2013,FAZEEL MOHAMED,Registered,23-Jun-2013
82,,BROTHERS SOLUTION PARTNERSHIP,P-0033/2013,AHMED ZIYAM,Registered,07-Oct-2013
83,,F.I.S ACCOUNTING,P-0025/2013,ADNAN IBRAHIM,Registered,30-May-2013
84,,CODEBLUE PARTNERSHIP,P-0027/2013,Dr. Ahmed Ziyan,Registered,18-Jul-2013
85,,ONEZEN L.L.P,P-0028/2013,AHMED ZAHID,Registered,07-Aug-2013
86,,RASHILE PARTNERS,P-0019/2013,,Registered,18-Apr-2013
87,,ADVOGADO LAW FIRM L.L.P,P-0021/2013,AHMED SHAFIU,Registered,07-May-2013
88,,VAASITHA INVESTMENT PARTNERSHIP,P-0022/2013,,Registered,08-May-2013
89,, 	BEACHLINE MALDIVES PARTNERSHIP,P-0023/2013,,Registered,09-May-2013
90,,F.A.M.S GENERAL TRADING PARTNERS,P-0029/2013,ALI NIZAR,Registered,03-Sep-2013
91,,UNITED IMPEX PARTNERSHIP,P-0030/2013,MOHAMED LUTHFEE,Registered,10-Sep-2013
92,,ISLAND HOPPERS L.L.P,P-0031/2013,AHMED ASEEF,Registered,15-Sep-2013
93,,MALDIVES MUSIC AND ARTS COTERIE PARTNERS,P-0032/2013,ALI ABDUL KAREEM,Registered,23-Sep-2013
94,,BLUE FIN MALDIVES PARTNERS,P-0014/2014,MOHAMED RISHWAN,Registered,11-Mar-2014
95,,MUIZZU AND CO. L.L.P,P-0003/2014,AHMED MUIZZU,Registered,03-Feb-2014
96,,KAATZ PARTNERS,P-0007/2014,ALI AMIR,Registered,12-Feb-2014
97,,ECOTONE PARTNERSHIP,P-0005/2014,AHMED RASHEED,Registered,06-Feb-2014
98,,S.R.Z INVESTMENT PARTNERS,P-0006/2014,AHMED SIYAZ,Registered,06-Feb-2014
99,,SKYBEAT INVESTMENT PARTNERS,P-0036/2013,MOOSA HANEEF,Registered,03-Dec-2013
100,,ALIQUAM,P-0001/2014,SIRAJ ALI WASEEM,Registered,15-Jan-2014
101,,ACCFIN PARTNERS L.L.P,P-0010/2014,MOHAMED MUIZZU,Registered,23-Feb-2014
