CUIN,Company Name,CRO Name,Company Kind,Auditor Name,Auditor Appointment Date
80539,RANA BROTHERS (PVT.) LIMITED,Lahore,Private Companies,SH. ASGHAR MANZOOR AND CO.,28-Oct-19
54599,RANA BROTHERS GAS & FUELS (PVT.) LIMITED,Lahore,Private Companies,LATIF AND CO,30-Mar-06
141179,RANA BUILDERS (PRIVATE) LIMITED,Islamabad,Private Companies,habib Ullah of Habib Ullah Khan and co,15-Jan-20
75900,RANA CABLE NETWORK (PVT.) LIMITED,Lahore,Private Companies,Javed Iqbal Choudhry,31-Oct-16
19156,RANA CHEMICAL AND PHARMACEUTICAL (PVT) LTD.,Lahore,Private Companies,AMANULLAH KHANANI,31-Dec-97
65936,RANA CONSTRUCTION SERVICES (PVT.) LIMITED,Lahore,Private Companies,SALMAN AND CO.,31-Oct-09
24750,RANA DENIM MILLS LIMITED,Faisalabad,Public Unlisted Companies,ZAHID JAMIL AND CO. CA,29-Oct-18
65927,RANA ENGINEERS & CONSTRUCTIONS (PVT.) LIMITED,Lahore,Private Companies,SALMAN AND CO,31-Oct-09
34225,RANA FABRICS (PVT.) LIMITED,Faisalabad,Private Companies,ABDUS SATTAR A. SATTAR AND CO.,28-Oct-17
35683,RANA FLOUR MILLS (PVT.) LIMITED,Faisalabad,Private Companies,NASIR JAMAL,31-Oct-14
88022,RANA GHULAM MUSTAFA AND COMPANY (PVT.) LIMITED,Multan,Private Companies,MAHBOOB SHEIKH AND COMPANY,27-Oct-18
854,RANA HOSIERY & TEXTILE MILLS (PVT.) LIMITED,Faisalabad,Private Companies,ZAHID JAMIL AND CO. CA,29-Oct-18
139176,RANA IFTIKHAR TRADERS (SMC-PRIVATE) LIMITED,Lahore,Single Member Companies,INAMMA UL HAQ AND CO,28-Oct-19
50916,RANA INTERNATIONAL TRAVEL & TOURS (PRIVATE) LIMITED,Karachi,Private Companies,MAQSOOD AND COMPANY,31-Oct-11
106741,RANA M. AFTAB & CO. (PRIVATE) LIMITED,Lahore,Private Companies,TAIYAB SHAHID AND CO,21-Mar-17
1175,RANA MOTORS (PRIVATE) LIMITED,Lahore,Private Companies,"TARIQ AYUB ANWAR AND CO. CA(LHR,ISL)",31-Dec-95
87011,RANA MUKHTAR CABLE NETWORK (PVT.) LIMITED,Lahore,Private Companies,Rafique Chaudhry and Co.,25-Feb-14
28068,RANA PACKAGING (PRIVATE) LIMITED,Karachi,Private Companies,TAHER MOOCHHALA AND CO. CA,5-Feb-95
44428,RANA POULTARY SERVICES (PVT.) LIMITED,Lahore,Private Companies,ERUM TARIQ,3-Oct-02
95026,RANA RASHID ALI & CO (PVT.) LIMITED,Lahore,Private Companies,IQBAL ASSOCIATES,28-Oct-19
64463,RANA SHAHBAZ TRAVELS & TOURS (PRIVATE) LIMITED,Multan,Private Companies,Muhammad Waqas Khalid,28-Oct-18
21009,RANA SPINNING MILLS (PRIVATE) LIMITED,Islamabad,Private Companies,ZAHID JAMIL AND CO. CA,24-Jan-90
21026,RANA TEXTILE MILLS LIMITED,Faisalabad,Public Unlisted Companies,ZAHID JAMIL AND CO. CA,28-Oct-19
23431,RANA TOWELS (PVT) LTD,Lahore,Private Companies,ASAD ALI AND CO.,15-Aug-96
76173,RANA TRADERS & MULTIBIZ (PVT.) LIMITED,Lahore,Private Companies,AZIM AND CO,31-Oct-13
19180,RANA TRADING CORPORATION (PVT) LTD.,Lahore,Private Companies,M. NAWAZ KHAN AND COMPANY,30-Dec-99
21010,RANA VELVET MILLS (PRIVATE) LIMITED,Islamabad,Private Companies,ZAHID JAMIL AND CO. CA,24-Jan-90
68817,RANAB ASSOCIATES (PVT.) LIMITED,Islamabad,Private Companies,Rizwan Akram,3-Mar-09
10355,RANAIN (PRIVATE) LIMITED,Karachi,Private Companies,AFZAL HUSSAIN DOSSANI,30-Oct-04
41781,RANASCO (PVT.) LIMITED,Lahore,Private Companies,IJAZ AMIN AND CO. CA (LHR)(ISB),31-Oct-11
137678,RANCHERS CAFE (PRIVATE) LIMITED,Peshawar,Private Companies,Yasir and Co,19-Aug-19
44973,RANDHAWA & CO (PVT.) LIMITED,Lahore,Private Companies,INAAM UL HAQ AND CO,28-Oct-19
92358,RANDHAWA ASSOCIATE CONTRACTORS (PVT.) LIMITED,Multan,Private Companies,WAQAS AND COMPANY,28-Oct-19
6445,RANDHAWA BROTHERS (PVT.) LIMITED,Multan,Private Companies,ZAHID JAMIL AND CO. CA,15-Nov-90
4175,RANDHAWA INDUSTRIES (PVT.) LIMITED,Multan,Private Companies,SHEIKH MUHAMMAD NAWAZ AND COMPANY,31-Oct-08
4602,RANDHAWA SONS (PRIVATE) LIMITED,Lahore,Private Companies,FAROOQI AND COMPANY,30-Dec-91
90870,RANDOM TECHNOLOGIES (PVT.) LIMITED,Islamabad,Private Companies,AZEEMULLAH AND CO,27-Oct-17
99284,RANECS (PVT.) LIMITED,Lahore,Private Companies,MIR ASSOCIATES,28-Apr-16
63403,RANG COMMODITIES (PRIVATE) LIMITED,Karachi,Private Companies,Nasir Javaid Maqsood Imran,23-Aug-19
75085,RANG COMMUNICATIONS (PVT.) LIMITED,Lahore,Private Companies,"Mansoor Aslam Seraj Saleem, Chartered Accountant",15-Mar-11
105457,RANG RASIYA (PVT.) LIMITED,Lahore,Private Companies,RSM AVAIS HYDER LIAQUAT NAUMAN C.A.,29-Oct-19
81007,RANGE BECK TRAVELS & TOURS (PVT.) LIMITED,Lahore,Private Companies,Tahir Warriach Associates,10-Sep-12
47149,RANGE TRADING (PVT.) LIMITED,Lahore,Private Companies,UMAR IQBAL (LHR),15-Apr-04
838,RANGOONWALA (PRIVATE) LIMITED,Karachi,Private Companies,"FARUQ ALI AND CO.,",28-Oct-19
113663,RANI & COMPANY (PRIVATE) LIMITED,Karachi,Private Companies,SAJID AND CO,31-Oct-19
71576,RANI FOODS (PVT.) LIMITED,Islamabad,Private Companies,Muniff Ziauddin and Co,28-Oct-19
9688,RANI GHEE MILLS LIMITED,Islamabad,Public Unlisted Companies,MUSHTAQ AND CO. (LAHORE),31-Oct-03
113524,RANI KONE (PRIVATE) LIMITED,Karachi,Private Companies,ABACUS CONSULTANCY,31-Oct-19
76110,RANIA CONSTRUCTION SERVICES (PVT.) LIMITED,Lahore,Private Companies,INAAM UL HAQ AND CO,31-Oct-13
97776,RANIA INDUSTRIES (PVT.) LIMITED,Karachi,Private Companies,ALI RAZA NAMDAR,19-Feb-16
56368,RANIA INTERNATIONAL TRAVEL & TOURS (PVT.) LIMITED,Multan,Private Companies,MAHBOOB SHEIKH AND COMPANY,28-Oct-19
79677,RANIA MUQADAS HAJJ & UMRAH SERVICES (PVT.) LIMITED,Multan,Private Companies,MUHAMMAD WAQAS KHALID,28-Oct-19
95683,RANIA OIL & GHEE INDUSTRIES (PVT.) LIMITED,Karachi,Private Companies,A. G. HABIB AND CO.,15-Oct-15
106543,RANIA PAPER MILL (PRIVATE) LIMITED,Multan,Private Companies,Waqas and Co Chartered Accountants,14-Mar-17
68618,RANIA TEXTILE MILLS (PVT.) LIMITED,Faisalabad,Private Companies,ZAHID JAMIL AND CO,31-Oct-13
82674,RANIB SOLUTIONS (PVT.) LIMITED,Islamabad,Private Companies,Nzee Associates,31-Oct-17
39260,RANIPUR SUGAR MILLS (PRIVATE) LIMITED,Karachi,Private Companies,REANDA HAROON ZAKARIA AND COMPANY,25-Jan-20
37591,RANIX PAKISTAN (PRIVATE) LIMITED,Karachi,Private Companies,SYED SARWAR MOHIUDDIN,16-Oct-03
60979,RANIZAI HAJJ & UMRAH SERVICES (PRIVATE) LIMITED,Peshawar,Private Companies,ZUBAIR AND CO,25-Oct-19
25485,RANJA ENTERPRISES (PRIVATE) LIMITED,Lahore,Private Companies,"RAHMAN SARFARAZ RAHIM IQBAL RAFIQ, CA (LAHORE)",27-Oct-18
41607,RANJHA FRUIT AND DAIRY FARMS (PVT) LIMITED,Lahore,Private Companies,USMAN RASHID,31-Oct-15
15767,RANJHA INDUSTRIES (PRIVATE) LIMITED,Lahore,Private Companies,GHULAM MURTAZA CHAUDHRI,31-Oct-05
84512,RANJHA SEED CORPORATION (PVT.) LIMITED,Multan,Private Companies,ZAFAR AND COMPANY,28-Oct-19
96864,RANK BROTHERS (PVT.) LIMITED,Islamabad,Private Companies,ASIF AWAN AND CO,28-Oct-19
10021,RANK INDUSTRIES( PVT) LIMITED.,Lahore,Private Companies,ILYAS SAEED AND CO. CA (LHR),31-Oct-04
83689,RANK INVESTMENTS (PVT.) LIMITED,Karachi,Private Companies,SHARJEEL AYUB AND CO,31-Oct-18
54838,RANKAB SYSTEMS (PRIVATE) LIMITED,Karachi,Private Companies,MAHMOOD ZUBERI AND CO.,11-Oct-08
85725,RANKS LOGISTICS PAKISTAN (PVT.) LIMITED,Karachi,Private Companies,NAMDAR AND CO,27-Oct-18
