CUIN,Company Name,CRO Name,Company Kind,Auditor Name,Auditor Appointment Date
94773,24HOURS.PK (PVT.) LIMITED,Karachi,Private Companies,Sharjeel Ayub and Co. Chartered Accountants,31-Oct-16
66537,24SEVEN TECHNOLOGIES (PRIVATE) LIMITED,Karachi,Private Companies,"ALI GHAFFAR AND CO,. MANAGEMENT ACCOUNTANTS",31-Oct-14
86196,24TH COMMUNICATION (PVT.) LIMITED,Karachi,Private Companies,A. G. HABIB AND CO,21-Dec-13
126466,2D TECH (PRIVATE) LIMITED,Islamabad,Private Companies,AGHA MUJEEB AHMED KHAN,25-Oct-19
81180,2F OIL REFINERY WORKS (PVT.) LIMITED,Lahore,Private Companies,SARWARS CHARTERED ACCOUNTANTS,9-Oct-12
58836,2F2F FORMULA KARTING PAKISTAN (PRIVATE) LIMITED,Islamabad,Private Companies,RAFAQAT MANSHA MOHSIN DOSSANI MASOOM AND CO,31-Oct-15
84301,2H (PVT.) LIMITED,Karachi,Private Companies,SANDHU AND CO,2-Jul-13
127786,2M DIGITAL MARKETING AD (SMC-PRIVATE) LIMITED,Lahore,Single Member Companies,INAAM UL HAQ,20-Jan-19
73163,2SOFT SOLUTIONS (PVT.) LIMITED,Lahore,Private Companies,HASNAIN SHAFQAT AND CO,17-Jan-11
103064,2WTRADE PAKISTAN (PVT.) LIMITED,Lahore,Private Companies,SAFDER SAAD AND CO,28-Oct-18
101286,3 BROTHERS CATERING CONSULTANTS (PVT.) LIMITED,Lahore,Private Companies,YAMEEN RIAZ AND COMPANY,19-Aug-16
113188,3 D TECHNOS (PRIVATE) LIMITED,Islamabad,Private Companies,TARIQ HANIF AND CO,31-Oct-19
55261,3 DELTA SOLUTIONS (PVT.) LIMITED,Lahore,Private Companies,QAVI AND CO. CA (LAHORE),31-Oct-08
143313,3 DIMENSION BUILDER & CONTRACTOR (PRIVATE) LIMITED,Peshawar,Private Companies,YASIR AND CO,13-Dec-19
54608,3 G COMPANY (PVT.) LIMITED,Islamabad,Private Companies,FAISAL BIN RAUF,10-Aug-07
113891,3 HANDS ENTERPRISES (PRIVATE) LIMITED,Quetta,Private Companies,MUHAMMAD MUNEEB,28-Oct-18
60790,3 IS TOUR & TRAVELS (PRIVATE ) LIMITED.,Karachi,Private Companies,HUSSAIN ASSOCIATES,31-Oct-09
55867,3 Is (PVT.) LIMITED,Lahore,Private Companies,IZHAR AND CO.,28-Oct-17
74965,3 S PAKISTAN SECURITY (PVT.) LIMITED,Lahore,Private Companies,AKBAR AND CO.,31-Oct-17
56958,3 S.B. TOURS & TRAVELS (PRIVATE) LIMITED,Karachi,Private Companies,SALAHUDDIN AND CO,28-Oct-19
70098,3 SIGMA SOLUTIONS (PVT.) LIMITED,Lahore,Private Companies,Qavi And Co. Chartered Accountants,30-Oct-10
59454,3 SOLE (PVT.) LIMITED,Islamabad,Private Companies,S. M IJAZ ZEESHAN AND CO,31-Oct-08
96711,3 STAR DIGITAL CABLE NETWORK (PVT.) LIMITED,Karachi,Private Companies,Muqtadir and Co Chartered Accountants,31-Oct-17
80916,3 STAR IMPEX MOBILE COMMUNICATIONS (PVT.) LIMITED,Peshawar,Private Companies,Shehzad Malik and Co,29-Aug-12
87584,3 STAR LPG (PVT.) LIMITED,Islamabad,Private Companies,M.ASIF JAMIL AND CO,31-Aug-16
112759,3 STARS POLYMER (PRIVATE) LIMITED,Lahore,Private Companies,Anwar Tariq and Co,27-Oct-18
81704,3 TEN FOODS (PVT.) LIMITED,Lahore,Private Companies,INAM-UL-HAQ AND CO.,19-Nov-12
96707,3 TREE SOLUTIONS (PVT.) LIMITED,Lahore,Private Companies,AMIN MUDASSAR AND COMPANY,28-Oct-19
57263,3-E BUSINESS SOLUTION (PVT.) LIMITED,Lahore,Private Companies,"AKHTER MAHMOOD MIAN, C.A. LAHORE",28-Oct-18
62729,3-G TELECOM ENGINEERING (PVT.) LIMITED,Lahore,Private Companies,INAM UL HAQ AND CO,28-Oct-19
76847,3-S FABRICATORS (PVT.) LIMITED,Lahore,Private Companies,M.A. CHAUDHARI AND CO,28-Oct-19
79724,3-STAR TRAVEL (PVT.) LIMITED,Islamabad,Private Companies,TARIQ HANIF AND CO,31-Oct-19
113179,3-Y PHARMACEUTICAL (PRIVATE) LIMITED,Lahore,Private Companies,INTEGRA INTERNATIONAL,18-Oct-18
136267,31-A ESTATES LIMITED,Lahore,Public Unlisted Companies,Riaz Ahmad and Company,22-Jul-19
76129,313 EVOLUTION (PVT.) LIMITED,Karachi,Private Companies,MAHMOOD ZUBERI AND CO,31-Oct-18
97638,360 APPROACH ENTERPRISES (PVT.) LIMITED,Islamabad,Private Companies,"Tariq Mian Ramzan Arshad and Co, Cost and Management Accountants",27-Oct-18
92739,360 DEGREE CORPORATION (PVT.) LIMITED,Lahore,Private Companies,YASIR AND CO CHARTERED ACCOUNTANT,31-Oct-15
75191,360 DEGREES TOTAL HUMAN RESOURCE SOLUTIONS (PVT.) LIMITED,Karachi,Private Companies,Horizon Consultants,26-Mar-11
132692,360 ENGINEERING & MANAGEMENT SOLUTIONS (PRIVATE) LIMITED,Karachi,Private Companies,PAKISTAN BUSINESS CONSULTANTS,30-Oct-19
89862,360 INNOVATIVE SERVICES (PVT.) LIMITED,Karachi,Private Companies,ABDUL REHMAN PUNJWANI,26-Sep-14
81332,360 LOGICS (PVT.) LIMITED,Islamabad,Private Companies,FAISAL LATEEF AND CO,31-Oct-14
59010,360 TECHNOLOGIES (PVT.) LIMITED,Islamabad,Private Companies,JUNAIDY SHOAIB ASAD AND CO,31-Oct-16
49737,360 ° CREATIVE SOLUTIONS (PVT.) LIMITED,Lahore,Private Companies,VISION CONSULTING LIMITED,30-Oct-07
105515,360FACTORS (PRIVATE) LIMITED,Karachi,Private Companies,SYED HASAN AND CO.,28-Oct-17
