Sr. No.,CUIN,Company Name,Incorporation Date / Registration Date,CRO Name
4723,0022402,HAPPO TRADING (PVT) LTD.,9/9/90,Lahore
4724,0015038,FLEXON INDSUSTRIES LIMITED,10/1/86,Lahore
4725,0029492,HIGHWAY COMFORTS (PVT.) LIMITED,1/28/93,Lahore
4726,0016951,ALFLAH INTERNATIONAL (PRIVATE) LIMITED,10/27/87,Lahore
4727,0036178,H. R. E. INTERNATIONAL (PRIVATE) LIMITED,2/10/96,Lahore
4728,0033167,I & I INTERNATIONAL (PRIVATE) LIMITED,8/15/94,Lahore
4729,0036576,AILIA INTERNATIONAL (PRIVATE ) LIMITED,5/19/96,Lahore
4730,0032280,ABLE  INDUSTRIES ( PRIVATE ) LIMITED,3/30/94,Lahore
4731,0027579,AL-MADINA ELECTRONICS & SYSTEMS INDUSTRIES ( PRIVATE ) LIMITED,6/21/92,Lahore
4732,0036830,ALI JUNAID BOARD PRODUCTS (PRIVATE) LIMITED,7/9/96,Lahore
4733,0018414,AL-HADI CORPORATION (PRIVATE) LIMITED,8/21/88,Lahore
4734,0030836,AL-HASSAN ENTERPRISES ( PRIVATE ) LIMITED,7/25/93,Lahore
4735,0039856,EZE NET SERVICES PAKISTAN (PVT) LTD,2/11/99,Lahore
4736,0011960,DISCO ENTERPRISES PRIVATE LIMITED,7/18/84,Lahore
4737,0031062,EXCLUSIVE GARMENTS (PVT) LTD,8/25/93,Lahore
4738,0028592,"DATA ELECTRONICS (PVT) LTD,",10/11/92,Lahore
4739,0072738,NAI DUNYA TAWANAI (PVT.) LIMITED,6/7/10,Islamabad
4740,0022675,DUREX EXPORT (PVT) LTD.,10/30/90,Lahore
4741,0040744,CARGO WIDE (PVT) LTD.,11/29/99,Lahore
4742,0026031,JUBILEE RESINS (PVT) LTD,12/24/91,Lahore
4743,0020314,DECENT CORPORATION (PVT) LIMITED,10/4/89,Lahore
4744,0002955,FOUNDATION ENGINEERING (PVT) LIMITED,9/1/69,Karachi
4745,0040380,EXCELSIOR INTERNATIONAL (PRIVATE) LIMITED,7/31/99,Lahore
4746,0020481,FATEH SARDAR & COMPANY (PRIVATE) LIMITED,11/2/89,Lahore
4747,0039053,FALCON RENT A CAR (PVT) LIMITED,5/2/98,Lahore
4748,0027825,E.C.S. ( PRIVATE ) LIMITED,7/14/92,Lahore
4749,0011251,FORMS & SURFACES ( PRIVATE ) LIMITED,2/14/84,Lahore
4750,0040854,ECOTECH SOLUTIONS (PRIVATE) LIMITED,1/5/00,Lahore
4751,0037122,FAIR AND FILVYO BUSINESS CO. (PVT) LIMITED,9/17/96,Lahore
4752,0037034,FARHAT GHAFFAR & SONS (PVT) LTD,8/26/96,Lahore
4753,0010052,FAIRTECH ELECTRONICS (PVT) LTD,1/20/83,Lahore
4754,0031559,HYPER TECHNOLOGIES (PVT) LTD,11/22/93,Lahore
4755,0036855,IMMORTAL INTERNATIONAL (PVT) LTD.,7/14/96,Lahore
4756,0016934,HENA IMPEX (PVT) LTD,10/22/87,Lahore
4757,0014345,GEO SYSTEMS ( PRIVATE ) LIMITED,4/17/86,Lahore
4758,0006286,GLOBEL IMPEX (PVT) LTD,6/6/78,Lahore
4759,0039218,ALI FISHERIES (PRIVATE) LIMITED,6/23/98,Karachi
4760,0038940,INTERGRIP (PRIVATE) LIMITED,3/27/98,Lahore
4761,0039759,IMAGES AVIATION (PRIVATE) LIMITED,12/28/98,Lahore
4762,0003638,IDREES & COMPANY (PRIVATE) LIMITED,5/23/72,Lahore
4763,0008295,INAM BROTHERS (PRIVATE) LIMITED,1/6/81,Lahore
4764,0035717,INTERNATIONAL ORION (PVT) LTD,11/8/95,Lahore
4765,0042181,HAMDAN FOOD INDUSTRIES (PVT.) LIMITED,3/12/01,Lahore
4766,0011517,HURR ENTERPRISES (PVT.) LIMITED,4/11/84,Lahore
4767,0024956,GALACTIC TRADELINKS (PVT) LIMITED,8/27/91,Lahore
4768,0039350,CONTINENTAL MEDICAL DISPOSABLES (PRIVATE) LIMITED,8/11/98,Lahore
4769,0040603,CRESCENT CORPORATE  SERVICES (PVT) LTD,10/7/99,Lahore
4770,0023645,ISLAMIC EXPRESS (PVT) LIMITED,3/25/91,Lahore
4771,0036685,GOHAR AGRO SERVICES (PVT) LTD,6/13/96,Lahore
4772,0007655,FAKHIR JABRAN RECRUITING AGENCY (PVT) LTD.,4/17/80,Lahore
4773,0008170,FARMER INDUSTRIES (PVT) LTD,11/23/80,Lahore
