Sr. No.,CUIN,Company Name,Incorporation Date / Registration Date,CRO Name
1,0025155,BROTHERS NETWORK (PRIVATE) LIMITED.,9/18/91,Islamabad
2,0022334,FINE CONTROL SYSTEM (PVT.)LIMITED,8/27/90,Islamabad
3,0028413,FLYWAY TRAVEL (PRIVATE) LIMITED,9/20/92,Islamabad
4,0068005,RAWAIL BUILDERS (PVT.) LIMITED,11/5/08,Islamabad
5,0008296,PETRO CHEMICAL (PRIVATE) LIMITED,1/6/81,Islamabad
6,0040553,AWM (PRIVATE) LIMITED,9/25/99,Islamabad
7,0029770,AIM SPORTS (PRIVATE)LIMITED,3/1/93,Islamabad
8,0022395,A.H. FIBRE GLASS INDUSTRIES (PRIVATE) LIMITED.,9/9/90,Islamabad
9,0031919,AGRIC FIELDS INTERNATIONAL (PRIVATE) LIMITED,1/23/94,Islamabad
10,0041227,ANA COMPANY (PRIVATE) LIMITED,5/10/00,Islamabad
11,0019662,CARSON TEA (PRIVATE) LIMITED,5/25/89,Islamabad
12,0013665,ASIAN DE ENTERPRISE (PRIVATE) LIMITED,10/29/85,Islamabad
13,0021439,ARTISTIC  ENTERPRISES (PRIVATE ) LIMITED,4/5/90,Islamabad
14,0027667,BRAINWAVES INTERNATIONAL (PRIVATE) LIMITED,6/29/92,Islamabad
15,0037775,BAREELA INFORMATION TECHNOLOGY (PRIVATE) LIMITED,3/20/97,Islamabad
16,0030039,BELL TRADE (PRIVATE) LIMITED,4/6/93,Islamabad
17,0034218,AGMA EAST (PRIVATE) LIMITED,2/6/95,Islamabad
18,0014380,AQUA INTERNATIONAL (PRIVATE) LIMITED,4/23/86,Islamabad
19,0035605,ASIAN NEWESPAPERS (PRIVATE) LIMITED,10/19/95,Islamabad
20,0032613,AL-SYED &COMPANY  EXPORTERS AND INDENTORS(PRIVATE)LIMITED,5/19/94,Islamabad
21,0073565,ERC GLOBAL (PVT.) LIMITED,9/15/10,Karachi
22,0032612,ADVERTISING  RESOURCE TECHNIQUE  (PRIVATE)LIMITED,5/19/94,Islamabad
23,0032099,AL-KHAIR CONSULTANTS (PRIVATE) LIMITED,2/24/94,Islamabad
24,0035005,ALLIED PAPER INDUSTRIES (PRIVATE) LIMITED,6/19/95,Islamabad
25,0019569,FIBERCRAFTS (PRIVATE) LIMITED,5/2/89,Islamabad
26,0010939,AGROTECH (PAKISTAN)  PRIVATE LIMITED,11/22/83,Islamabad
27,0022622,ATIQ & COMPANY (PRIVATE) LIMITED,10/18/90,Islamabad
28,0033476,CRESCENT MAPLE (PRIVATE) LIMITED,10/14/94,Islamabad
29,0031568,CONTACT (PRIVATE) LIMITED,11/23/93,Islamabad
30,0063237,FACILITIES SYSTEMS AND MANAGEMENT (PRIVATE) LIMITED,10/25/07,Karachi
31,0011155,HALCYON AVIA (PRIVATE) LIMITED,1/23/84,Islamabad
32,0002380,F & I INDUSTRIES (PVT.) LIMITED,10/19/66,Islamabad
33,0026219,HOTEL AL-KIAN INTENATIONAL (PRIVATE) LIMITED,1/19/92,Islamabad
34,0031724,AMERICAN TRAVEL INTERNATIONAL (PRIVATE) LIMITED,12/22/93,Islamabad
35,0032478,AMMANN & WHITNEY PAKISTAN (PRIVATE) LIMITED,4/30/94,Islamabad
36,0041186,ATTOCK SECURITY COMPANY (PRIVATE) LIMITED,4/28/00,Islamabad
37,0034348,COMBINE MULTI ENGINEERING (PRIVATE)LIMITED,2/27/95,Islamabad
38,0031181,BIZLINK POWER & COMMUNICATION (PRIVATE)LIMITED,9/18/93,Islamabad
39,0021809,BAGRANI BROTHERS (PRIVATE) LIMITED.,5/27/90,Islamabad
40,0010502,BULDING PDODUCTS (PRIVATE)LIMITED,6/25/83,Islamabad
41,0022612,CHEM-SYSTEMS (PRIVATE)LIMITED,10/16/90,Islamabad
42,0013599,ASSOCIATED DRILLERS (PRIVATE) LIMITED,10/14/85,Islamabad
43,0034743,EASTERN SALT RANGE MINING (PRIVATE) LIMITED,5/8/95,Islamabad
44,0022972,FARAH  ELAHI (PRIVATE)LIMITED,12/24/90,Islamabad
45,0025826,A. M. TEXTILE MILLS (PRIVATE) LIMITED.,12/2/91,Islamabad
46,0034079,AL- SHIFA TRADERS (PRIVATE) LIMITED,1/17/95,Islamabad
47,0036820,COPLOMATIC ENGINEER (PRIVATE) LIMITED,7/7/96,Islamabad
48,0062409,ALTVIA (PVT.) LIMITED,8/3/07,Lahore
49,0031149,BUSINESS BASE INTERNATIONAL (PRIVATE ) LIMITED.,9/14/93,Islamabad
50,0021457,AKHWAN SOAP INDUSTRIES (PRIVATE) LIMITED,4/7/90,Islamabad
51,0063239,SPINX TRADERS (PVT.) LIMITED,10/25/07,Lahore
52,0038316,AUTOGRAPHICS PAKISTAN (PRIVATE) LIMITED,9/15/97,Islamabad
53,0068082,PIES SCHOOL & COLLEGE (PVT.) LIMITED,11/13/08,Islamabad
54,0032670,ASKARI  COMMUNICATIONS (PRIVATE) LIMITED,6/1/94,Islamabad
55,0034996,ASRAR INTERNATIONAL (PRIVATE)  LIMITED,6/18/95,Islamabad
56,0032343,AL-HASNAIN HATCHERY (PRIVATE) LIMITED,4/11/94,Islamabad
57,0030539,BUSINESS  CONNECTORS INTERNATIONAL (PRIVATE)LIMITED,6/13/93,Islamabad
58,0020961,ABU-ER-RUBB ENGINEERING (PRIVATE) LIMITED,1/17/90,Islamabad
59,0035637,EASTERN WING (PRIVATE) LIMITED,10/25/95,Islamabad
60,0022749,FOUNDATION STEEL (PRIVATE) LIMITED .,11/14/90,Islamabad
61,0040359,CLASSIFIED ENGINEERING (PRIVATE)LIMITED,7/23/99,Islamabad
62,0063343,FOCUS INTERNATIONAL (PVT.) LIMITED,11/5/07,Islamabad
63,0039793,AND OR LOGIC  PAKISTAN (PRIVATE) LIMITED,1/12/99,Islamabad
64,0031281,ANIMAL HEALTH PRODUCTS (PRIVATE ) LIMITED.,10/4/93,Islamabad
65,0066764,TILLO PHARM (PRIVATE) LIMITED,7/2/08,Karachi
66,0012229,AGICHEM (PRIVATE) LIMITED,10/4/84,Islamabad
67,0013766,BROTHERS BUSINESS (PRIVATE) LIMITED,11/24/85,Islamabad
68,0033446,CAPITAL  CORPORATE SERVICES (PRIVATE) LIMITED,10/10/94,Islamabad
69,0040845,AAA INTERNATIONAL  (PRIVATE)LIMITED,1/4/00,Islamabad
70,0003112,HUSSAINI ENGINEERING COMPANY (PRIVATE) LIMITED,4/15/70,Islamabad
71,0014016,HAFEEZ PROUDCTION INDUSTRIES (PRIVATE) LIMITED,1/27/86,Islamabad
72,0023016,HATTAR TOWEL INDUSTRIES (PRIVATE)  LIMITED,1/1/91,Islamabad
73,0022940,ACME COMMUNICATIONS (PRIVATE) LIMITED,12/16/90,Islamabad
74,0063240,HUSSAINS CONSULTANTS (PVT.) LIMITED,10/25/07,Islamabad
75,0011770,ALIPUR NOON (PRIVATE) LIMITED,6/11/84,Islamabad
76,0031179,ASAD RAMEEZ ASSOCIATES (PRIVATE) LIMITED.,9/18/93,Islamabad
77,0037856,ARTYCOM   (PRIVATE)LIMITED,4/22/97,Islamabad
78,0005015,CONTOURS  ASSOCIATES (PRIVATE) LIMITED,11/25/75,Islamabad
79,0004526,EAST WEST TRADING COMPANY (PRIVATE)LIMITED,7/31/74,Islamabad
80,0011704,INTERNATIONAL MECHANIZED DAIRY & FARM PRODUCTS LIMITED,5/26/84,Islamabad
81,0033717,AL-ABBAS COAL AND SALT COMPANY (PRIVATE) LIMITED.,11/24/94,Islamabad
82,0030519,AL-ZUKHRUF INDUSTRIES (PRIVATE) LIMITED.,6/10/93,Islamabad
83,0008195,CHINESE BRICKS (PRIVATE) LIMITED,11/29/80,Islamabad
84,0034793,COMPANY OF AIR PORT SERVICES (PRIVATE)LIMITED,5/21/95,Islamabad
85,0021614,ASIANICS AGRO DEVELOPMENT INTERNATIONAL (PRIVATE) LIMITED,4/25/90,Islamabad
86,0029601,GOLDEN CASTLE  INTERNATIONAL (PRIVATE) LIMITED,2/10/93,Islamabad
87,0063278,DELTA ZONE (PRIVATE) LIMITED,10/30/07,Karachi
88,0030596,ALI BABA INN (PRIVATE) LIMITED,6/22/93,Islamabad
89,0030735,ACORN INTERNATIONAL (PRIVATE) LIMITED,7/12/93,Islamabad
90,0036435,ADAPTIVE SOLUTIONS  (PRIVATE)LIMITED,4/11/96,Islamabad
91,0035983,BELEX (PRIVATE) LIMITED,1/3/96,Islamabad
92,0029090,BMH ASSOCIATES (PRIVATE) LIMITED,12/7/92,Islamabad
93,0037731,AL-HUSNAIN  (PRIVATE)LIMITED,3/4/97,Islamabad
94,0040702,GENERAL GAS COMPANY (PRIVATE) LIMITED,11/12/99,Islamabad
95,0039225,ARMOR FIBRE  GLASS (PRIVATE) LIMITED,6/24/98,Islamabad
96,0017738,ACCESS (PRIVATE) LIMITED,3/31/88,Islamabad
97,0025368,GILANI HOUSING CORPORATION INTERNATIONAL (PRIVATE) LIMITED,10/9/91,Islamabad
98,0030364,FIVE STAR GAS INDUSTRY (PRIVATE) LIMITED,5/19/93,Islamabad
99,0016512,AL-SAYED HOSPITAL (PRIVATE) LIMITED,8/4/87,Islamabad
100,0028525,AGS   TRAVELS  AND   TOURISM(PRIVATE)  LIMITED,10/3/92,Islamabad
101,0039910,I&R CONSULTANTS (PRIVATE) LIMITED,3/2/99,Islamabad
102,0029220,COMMUMNICATIONS ELECTRONICS & TECHNOLOGY (PRIVATE) LIMITED,12/26/92,Islamabad
103,0024353,AL-SHAFQAT  (PRIVATE) LIMITED,6/18/91,Islamabad
104,0011416,ALI DISTRIBUTORS (PRIVATE) LIMITED,3/19/84,Islamabad
105,0005608,ABBASI ASSOCIATES INTERNATIONAL (PRIVATE) LIMITED,1/19/77,Islamabad
106,0007453,ARCKONS (PRIVATE) LIMITED,1/23/80,Islamabad
107,0031126,CELCOTT (PRIVATE) LIMITED.,9/12/93,Islamabad
108,0002887,AKHTAR AND HOFMANN (PRIVATE) LIMITED,5/17/69,Islamabad
109,0025491,AL-BILAL STEEL INDUSTRIES (PRIVATE) LIMITED,10/21/91,Islamabad
110,0024434,APPLE JOHAN  PHARMA (PRIVATE) LIMITED,6/29/91,Islamabad
111,0011761,AL- HAQ CORPORATION (PRIVATE) LIMITED,6/9/84,Islamabad
112,0029835,ANGLES (PRIVATE) LIMITED,3/9/93,Islamabad
113,0015165,A.M .DAIRIES (PRIVATE)LIMITED,10/27/86,Islamabad
114,0012370,AWAN BRICKS AND LIME INDUSTRIES (PRIVATE) LIMITED,11/8/84,Islamabad
115,0005732,ABRAR & COMPANY (PRIVATE) LIMITED,5/13/77,Islamabad
116,0033084,AL-AZHER   ENTERPRISES & GARMENTS  MANUF ACTURERS (PVT)LIMITED,8/3/94,Islamabad
117,0032080,ALERT SECURITY SERVICES (PRIVATE) LIMITED,2/22/94,Islamabad
118,0027899,AL-AMIN OIL COMPANY (PRIVATE) LIMITED.,7/22/92,Islamabad
119,0035660,ASIA  ENGINEERS  AND  CONTRACTORS ( PRIVATE) LIMITED,10/31/95,Islamabad
120,0041590,AL-SUBAK (PRIVATE) LIMITED,8/11/00,Islamabad
121,0027458,FALAH PETRO SERVICES(PRIVATE) LIMITED.,6/8/92,Islamabad
122,0009575,FRIENDS DISTRIBUTORS (PRIVATE)LIMITED,7/3/82,Islamabad
123,0039398,EDUCATION DEVELOPMENT ASSOCIATION (PRIVATE) LIMITED,8/27/98,Islamabad
124,0031657,ELIXIR PAINT INDUSTRIES (PRIVATE) LIMITED,12/9/93,Islamabad
125,0041272,COURIER  NET (PRIVATE) LIMITED,5/22/00,Islamabad
126,0031574,ADVANCE COMMUNICATIONS (PRIVATE) LIMITED,11/24/93,Islamabad
127,0029586,EPEC INTERNATIONAL (PRIVATE) LIMITED,2/9/93,Islamabad
128,0023041,ALLAHDAD KHAN CONSTRUCTION (PRIVATE) LIMITED,1/6/91,Islamabad
129,0004359,FEDERAL LIGHT ENGINEERING CORPORATION ( PRIVATE) LIMITED,3/1/74,Islamabad
130,0031759,ASSET HOLDING (PVT.) LIMITED,12/28/93,Islamabad
131,0039681,CORE INTERNATIONAL PAKISTAN (PRIVATE) LIMITED,11/30/98,Islamabad
132,0013905,CAPITOL STEEL INDUSTRIES (PRIVATE0 LIMITED,12/29/85,Islamabad
133,0034112,CANDID MARKETING (PRIVATE)LIMITED,1/22/95,Islamabad
134,0037229,DELTA COATINGS (PRIVATE)LIMITED,10/13/96,Islamabad
135,0038957,CNG CAPITAL KAR GAS REFILLING STATION (PRIVATE) LIMITED.,3/31/98,Islamabad
136,0026124,DHANI MANUFACTURING (PRIVATE) LIMITED,1/6/92,Islamabad
137,0027435,ATTOCK MARBLES (PRIVATE) LIMITED.,6/7/92,Islamabad
138,0017963,ALI-IMRAN  AND  ASSOCIATES  (PRIVATE)  LIMITED,5/16/88,Islamabad
139,0006543,ISLAMABAD  PUBLICATIONS (PRIVATE)  LIMITED,11/9/78,Islamabad
140,0006314,AALME  ENGINEERS (PRIVATE) LIMITED,6/26/78,Islamabad
141,0019434,AL-HAKIM NURSING HOME (PRIVATE) LIMITED.,4/5/89,Islamabad
142,0033443,B. S. GLOBAL (PRIVATE) LIMITED.,10/10/94,Islamabad
143,0031324,AL-NAWAZ INTERNATIONAL (PRIVATE ) LIMITED.,10/13/93,Islamabad
144,0028756,INTERCONTINENTAL IMPORTS & EXPORTS (PRIVATE) LIMITED,10/28/92,Islamabad
145,0021862,IDEAL METAL INDUSTRIES (PRIVATE) LIMITED,6/5/90,Islamabad
146,0032920,COMPREHENSIVE SECURITY (PRIVATE) LIMITED.,7/5/94,Islamabad
147,0026558,COTTON WEAVERS (PRIVATE) LIMITED,3/3/92,Islamabad
148,0023748,AZIM RE-ROLLING MILLS (PVT.) LIMITED,4/6/91,Islamabad
149,0018084,ATTOCK ENGINEERING (PRIVATE) LIMITED.,6/15/88,Islamabad
150,0025933,AIMS INVESTMENT ADVISORY COMPANY (PRIVATE) LIMITED,12/15/91,Islamabad
151,0028493,ASIA EDUCATION ENTERPRISES (PRIVATE) LIMITED,9/28/92,Islamabad
152,0018887,ALLIED DEVELOPERS (PRIVATE) LIMITED,11/29/88,Islamabad
153,0024747,KIM & NASIR  ( PRIVATI ) LIMITED.,8/4/91,Islamabad
154,0033190,MASCOT METAL (PRIVATE) LIMITED,8/18/94,Islamabad
155,0019299,SHALIMAR CASTINGS (PRIVATE) LIMITED.,3/5/89,Islamabad
156,0037353,STAR  SERVICES  (PRIVATE) LIMITED,11/6/96,Islamabad
157,0035360,S.M.E. (PRIVATE) LIMITED,8/24/95,Islamabad
158,0038308,SAFE GUARD SECURITY AND MANAGEMENT (PRIVATE) LIMITED,9/10/97,Islamabad
159,0035607,DOMINION POWER FUND LIMITED,10/19/95,Islamabad
160,0035223,DYNAMIC CEMENT LIMITED,7/25/95,Islamabad
161,0036058,BAHRIA MARINE LIMITED,1/17/96,Islamabad
162,0037714,NETSA INTERNATIONAL (PRIVATE) LIMITED.,2/27/97,Islamabad
163,0033688,ISLAMABAD PRIVATE HOSPITAL (PRIVATE) LIMITED,11/21/94,Islamabad
164,0040490,S  &  S INTERNATIONAL  FOODS (PRIVATE) LIMITED,9/4/99,Islamabad
165,0042133,SHAHEEN PUBLICATIONS (PRIVATE) LIMITED,2/20/01,Islamabad
166,0035200,MEHRAN PACKAGING (PRIVATE) LIMITED,7/19/95,Islamabad
167,0037947,NEWFORD (PRIVATE) LIMITED.,5/29/97,Islamabad
168,0027850,O.B. (PRIVATE) LIMITED,7/17/92,Islamabad
169,0034765,INTEGRATED CONSULTANCY SERVICES (PVT.) LIMITED,5/16/95,Islamabad
170,0014913,UNIQUE CONTRACTING COMPANY (PRIVATE) LIMITED,9/3/86,Islamabad
171,0020575,KADIR  MOTORS (PRIVATE) LIMITED,11/18/89,Islamabad
172,0034475,MICRO COMPUTERS (PRIVATE) LIMITED,3/22/95,Islamabad
173,0034653,MUNDAIR MUSHROOM  FARMS (PRIVATE) LIMITED,4/20/95,Islamabad
174,0036441,OUTSOURCING & MANAGEMENT SERVICES (PRIVATE) LIMITED.,4/11/96,Islamabad
175,0041208,NABA ENGINEERING AND TRADING (PRIVATE) LIMITED,5/4/00,Islamabad
176,0038244,IDEYA COMPANY  PAKISTAN (PRIVATE) LIMITED,8/21/97,Islamabad
177,0018339,KARSAZ INDUSTRIES (PRIVATE) LIMITED,8/3/88,Islamabad
178,0069171,TECH LEGENDS (PVT.) LIMITED,4/16/09,Islamabad
179,0024104,TAFTAN (PRIVATE) LIMITED,5/19/91,Islamabad
180,0038071,MATTOO SONS DIPLOMATIC BONDED WAREHOUSE (PRIVATE) LIMITED,6/30/97,Islamabad
181,0072908,SURGIPHARMA TECHNOAID (PVT.) LIMITED,6/24/10,Karachi
182,0063431,INAYAT BROTHERS (PRIVATE) LIMITED,11/14/07,Quetta
183,0024365,SCAN PACKAGES (PRIVATE) LIMITED,6/18/91,Islamabad
184,0034371,S.S.S.FOODS (PRIVATE) LIMITED,2/28/95,Islamabad
185,0033618,INFO-MACHINE COMMUNICATIONS (PRIVATE) LIMITED,11/10/94,Islamabad
186,0038361,SOFTNET (PRIVATE) LIMITED,9/27/97,Islamabad
187,0040831,ONLINE INTERNATIONAL NEWS NETWORK (PRIVATE) LIMITED,12/31/99,Islamabad
188,0037288,OSG ASSOCIATES (PRIVATE) LIMITED,10/23/96,Islamabad
189,0022653,OASIS TRADING (PRIVATE) LIMITED,10/22/90,Islamabad
190,0042127,OUR SOL (PRIVATE) LIMITED,2/19/01,Islamabad
191,0036918,HASHMAT SONS (PRIVATE) LIMITED,7/29/96,Islamabad
192,0036943,MEGATERM PAKISTAN (PRIVATE) LIMITED,8/4/96,Islamabad
193,0030236,MEDCARE SURGICALS (PRIVATE) LIMITED,5/2/93,Islamabad
194,0036969,PORTLAND PAKISTAN (PRIVATE) LIMITED,8/7/96,Islamabad
195,0002749,MAKSONS(PRIVATE)  LIMITED,9/19/68,Islamabad
196,0037218,INFRASTRUCTURE DEVELOPMENT COMPANY (PRIVATE) LIMITED,10/10/96,Islamabad
197,0062429,MUNAWWAR CONSTRUCTION COMPANY (PRIVATE) LIMITED,8/6/07,Karachi
198,0034823,OPM INDUSTRIES (PRIVATE) LIMITED,5/24/95,Islamabad
199,0020770,JAN CAN INDUSTRY (PRIVATE) LIMITED.,12/20/89,Islamabad
200,0035502,JIMMY INTERNATIONAL (PRIVATE) LIMITED,9/25/95,Islamabad
201,0030191,MAHBRO  (PRIVATE) LIMITED.,4/26/93,Islamabad
202,0029049,JOHAR DALL & BASON MILLS ( PRIVATE) LIMITED,12/1/92,Islamabad
203,0041462,NIPTON HOLDINGS (PRIVATE) LIMITED,7/7/00,Islamabad
204,0041903,NET HUT (PRIVATE) LIMITED,11/23/00,Islamabad
205,0036805,M. R. I. ISLAMABAD (PRIVATE) LIMITED,7/2/96,Islamabad
206,0024639,MORCOPOLO INTERNATIONAL (PRIVATE ) LIMITED.,7/20/91,Islamabad
207,0063617,LOKVIRSA COMMUNICATIONS (PRIVATE) LIMITED,11/29/07,Karachi
208,0024539,KASHIF CHEMICALS (PRIVATE) LIMITED,7/11/91,Islamabad
209,0031477,MASCOTS TRAVELS (PRIVATE ) LIMITED,11/8/93,Islamabad
210,0011836,MUJAHID SOAP & CHEMICALS INDUSTRIES (PVT.) LIMITED ,6/25/84,Islamabad
211,0030284,METROPOLITAN SECURITY & SAFETY (PRIVATE) LIMITED,5/9/93,Islamabad
212,0013911,AL- AMAN DISTRIBUTORS (PRIVATE) LIMITED,12/30/85,Islamabad
213,0038975,ROCKVILLE BROS. (PVT.) LIMITED,4/4/98,Islamabad
214,0001587,FAROOQ SOHAIL (PRIVATE) LIMTED,12/10/62,Islamabad
215,0063618,EDUCATIONAL RESOURCE CONSULTANTS (PVT.) LIMITED,11/29/07,Islamabad
216,0021508,CHAN BAIG & COMPANY (PRIVATE) LIMITED,4/14/90,Islamabad
217,0041867,SAAN INFO-TEL (PRIVATE) LIMITED,11/14/00,Islamabad
218,0036196,RIVER VIEW HOTEL & RESTAURANT (PRIVATE) LIMITED,2/14/96,Islamabad
219,0015031,STERLING MULTICOMPONENTS (PRIVATE) LIMITED,9/29/86,Islamabad
220,0012831,SAQIB & COMPANY (PVT) LIMITED,3/21/85,Islamabad
221,0021524,SAB MINES & MARBLE INDUSTRIES (PRIVATE) LIMITED,4/15/90,Islamabad
222,0028282,MATEEN CONSTRUCTION (PRIVATE ) LIMITED,9/1/92,Islamabad
223,0030384,MARGALLA SOAP  AND CHEMICAL INDUSTRIES (PRIVATE) LIMITED,5/22/93,Islamabad
224,0019528,MURSHID CORPORATION (PRIVATE) LIMITED,4/23/89,Islamabad
225,0021855,PRESIDENT HOTEL (PRIVATE) LIMITED,6/4/90,Islamabad
226,0027217,MNK STEEL INDUSTRIES (PRIVATE) LIMITED,5/14/92,Islamabad
227,0040517,PROFESSIONAL ARTISTES CREATIVE ENTEPRISES (PRIVATE) LIMITED,9/15/99,Islamabad
228,0038001,SHEIKH  MAZHAR ENTERPRISES (PRIVATE) LIMITED.,6/12/97,Islamabad
229,0015961,SCS SCANDINAVIAN COMPUTER SYSTEM (PVT) LIMITED.,4/19/87,Islamabad
230,0038197,SAT. TEL (PRIVATE) LIMITED,8/7/97,Islamabad
231,0041880,KG TELECOM (PVT.) LIMITED,11/17/00,Islamabad
232,0038196,SAT. TECH (PRIVATE) LIMITED,8/7/97,Islamabad
233,0037351,PRESTON EDUCATION ISLAMABAD (PRIVATE) LIMITED,11/6/96,Islamabad
234,0040611,PAIKHEL FLOUR MILLS (PRIVATE) LIMITED,10/9/99,Islamabad
235,0028666,EAST WEST ROUTE INTERNATIONAL (PRIVATE)  LIMITED,10/19/92,Islamabad
236,0033622,AUSTROPAK  MARBLE INDUSTRIES (PRIVATE) LIMITED,11/13/94,Islamabad
237,0026289,ATCO (PRIVATE) LIMITED.,1/28/92,Islamabad
238,0013689,FARHAD ASSOCIATES (PRIVATE) LIMITED,11/3/85,Islamabad
239,0036745,PAKKO FURNITURES (PRIVATE) LIMITED,6/25/96,Islamabad
240,0009998,CHAUDHRY CONSTRUCTION COMPANY (PRIVATE)LIMIED,12/31/82,Islamabad
241,0034457,CPC PAKISTAN (PRIVATE) LIMITED,3/20/95,Islamabad
242,0030960,COMFORT LINES (PRIVATE)LIMITED,8/8/93,Islamabad
243,0028466,MEHMOOD KNITCRAFT & TEXTILES (PRIVATE) LIMITED,9/24/92,Islamabad
244,0063402,PAK-CHINA TRADING CO. (PRIVATE) LIMITED,11/12/07,Multan
245,0027478,BUKHARI INTERNATIONAL (PRIVATE) LIMITED,6/9/92,Islamabad
246,0031917,ITTEHAD FOOD INDUSTRIES (PRIVATE) LIMITED,1/22/94,Islamabad
247,0034616,AWAMI PHARMACY (PRIVATE)LIMITED.,4/18/95,Islamabad
248,0023008,BUSINESS CARE (PRIVATE) LIMITED,12/31/90,Islamabad
249,0013059,FIVE STAR ASSOCIATES (PRIVATE)LIMITED,5/23/85,Islamabad
250,0040562,EXCEL SECURITIES (PRIVATE) LIMITED.,9/28/99,Islamabad
251,0031044,INTERNATIONAL MACHINERY TRADERS (PRIVATE) LIMITED,8/22/93,Islamabad
252,0042126,INTERNATIONAL DEVELOPMENT PROJECTS MANAGEMENT (PRIVATE) LIMITED,2/19/01,Islamabad
253,0028777,CREDENTIAL TRADERS (PRIVATE) LIMITED,10/31/92,Islamabad
254,0029980,COMFORT INN (PRIVATE) LIMITED,3/30/93,Islamabad
255,0012575,BUSINESS MANAGEMENT GROUP (PRIVATE) LIMITED,12/31/84,Islamabad
256,0028120,ORBIT TRAVELS COMPANY (PRIVATE) LIMITED,8/15/92,Islamabad
257,0040704,FAMOUS SECURITY COMPANY (PRIVATE) LIMITED,11/13/99,Islamabad
258,0038530,DANKOT INTERNATIONAL (PRIVATE)LIMITED,11/20/97,Islamabad
259,0018302,BLACK HORSE  INTERNATIONAL (PRIVATE)LIMITED,7/20/88,Islamabad
260,0037819,EFFICIENT TECHNICAL SUPPORT SERVICES (PVT.) LIMITED,4/2/97,Islamabad
261,0005720,NISAR BROTHERS(PRIVATE) LIMITED,4/23/77,Islamabad
262,0063623,PROCTOR INTERNATIONAL (PVT.) LIMITED,11/29/07,Islamabad
263,0034932,DANIAL INTERNATIONAL (PRIVATE) LIMITED,6/7/95,Islamabad
264,0034232,KITCHEN FOODS INTERNATIONAL (PRIVATE) LIMITED,2/7/95,Islamabad
265,0031074,DARWAISH  AL  DARWAISH (PRIVATE) LIMITED,8/28/93,Islamabad
266,0016932,DAR INTERNATIONAL (PRIVATE) LIMITED,10/22/87,Islamabad
267,0029513,FITTINCO (PRIVATE) LIMITED,1/31/93,Islamabad
268,0025625,CREATIVE COMPUTERS (PRIVATE) LIMITED,11/7/91,Islamabad
269,0021555,PEMSECO TEXTILE MILLS (PRIVATE) LIMITED,4/19/90,Islamabad
270,0010243,NORWEST (PAKISTAN) (PRIVATE) LIMITED,3/30/83,Islamabad
271,0017375,OGAWA INDUSTRIES (PVT.) LIMITED,1/23/88,Islamabad
272,0029788,HAYAT SECURITY SERVICES (PRIVATE) LIMITED,3/3/93,Islamabad
273,0033983,ENERPRO (PRIVATE) LIMITED,1/5/95,Islamabad
274,0030295,D. M. S. Q. (PRIVATE) LIMITED,5/10/93,Islamabad
275,0021183,CHALET (PRIVATE)LIMITED,2/22/90,Islamabad
276,0040907,HI-GUARDS SECURITY SERVICES (PRIVATE) LIMITED.,1/29/00,Islamabad
277,0039467,GHULAM HUSSAIN  & COMPANY (PRIVATE) LIMITED,9/20/98,Islamabad
278,0031432,FALCON H.V.A.C.R. (PRIVATE) LIMITED,10/31/93,Islamabad
279,0027212,AL-MADINA CONTINENTAL (PRIVATE) LIMITED,5/14/92,Islamabad
280,0040716,GREEN LAND GARDENS (PRIVATE) LIMITED,11/18/99,Islamabad
281,0025157,DEEN CHEMICALS (PRIVATE) LIMITED,9/18/91,Islamabad
282,0029446,DELTA CARGO SERVICES(PRIVATE) LIMITED,1/24/93,Islamabad
283,0022823,DIETETIC FOODS (PRIVATE) LIMITED,11/28/90,Islamabad
284,0021683,CHAUDHARY FABRICS (PRIVATE) LIMITED.,5/10/90,Islamabad
285,0029148,BIG APPLE (PRIVATE) LIMITED.,12/17/92,Islamabad
286,0036319,HASEEB INTERNATIONAL CORPORATION (PRIVATE) LIMITED,3/17/96,Islamabad
287,0005498,CEASELEAK  (PRIVATE) LIMITED,10/30/76,Islamabad
288,0031647,AL-SHAIKH TRADERS (PRIVATE) LIMITED,12/7/93,Islamabad
289,0036955,AL- BARAKAH INTERNATIONAL COMPANY (PRIVATE) LIMITED,8/6/96,Islamabad
290,0014307,GHAZI AGRICULTURAL SERVICES AND GINNING COMPANY (PRIVATE) LIMITED,4/8/86,Islamabad
291,0013981,HATTAR PAPER SACKS INDUSTRIES (PRIVATE) LIMITED,1/16/86,Islamabad
292,0040874,CLICK ART COMMUNICATIONS (PRIVATE) LIMITED,1/19/00,Islamabad
293,0020611,GANDAF STEEL INDUSTRIES (PRIVATE) LIMITED,11/25/89,Islamabad
294,0004749,AL-ZAFAR (PRIVATE) LIMITED,4/10/75,Islamabad
295,0020299,FLY HOME (PRIVATE) LIMITED,10/1/89,Islamabad
296,0040117,ACE QUALITY (PRIVATE) LIMITED.,5/13/99,Islamabad
297,0021569,ALMOC TRAVELS (PRIVATE) LIMITED,4/22/90,Islamabad
298,0036778,ANIQUE  INTERNATIONAL  (PRIVATE) LIMITED,6/30/96,Islamabad
299,0032912,ABDUL  JALIL  ASSOCIATES (PRIVATE) LIMITED,7/1/94,Islamabad
300,0012297,BUSINESS COMPUTERS INTERNATIONAL (PRIVATE) LIMITED,10/22/84,Islamabad
